Date,t (Trading Volume),p-value (Trading Volume),t (Search),p-value (Search),GC-index (Search → Trading Volume),p-value (Search → Trading Volume),GC-index (Trading Volume → Search),p-value (Trading Volume → Search)
2021-02-18,-4.846,0.0,-2.322,0.165,0.204,0.196,0.134,0.296
2021-02-19,-3.589,0.006,-1.952,0.308,0.186,0.217,0.166,0.244
2021-02-20,-4.077,0.001,-2.2,0.206,0.193,0.21,0.193,0.209
2021-02-21,-4.077,0.001,-2.2,0.206,0.193,0.21,0.193,0.209
2021-02-22,-4.077,0.001,-2.2,0.206,0.193,0.21,0.193,0.209
2021-02-23,-3.825,0.003,-2.258,0.186,0.177,0.229,0.116,0.33
2021-02-24,-4.475,0.0,-3.225,0.019,0.032,0.609,0.001,0.932
2021-02-25,-5.106,0.0,-3.389,0.011,0.0,0.957,0.0,0.952
2021-02-26,-3.666,0.005,-3.462,0.009,0.002,0.877,0.001,0.932
2021-02-27,-5.572,0.0,-3.67,0.005,0.0,1.0,0.0,0.964
2021-02-28,-5.572,0.0,-3.67,0.005,0.0,1.0,0.0,0.964
2021-03-01,-5.572,0.0,-3.67,0.005,0.0,1.0,0.0,0.964
2021-03-02,-6.507,0.0,-4.69,0.0,0.149,0.212,0.116,0.272
2021-03-03,-3.71,0.004,-4.821,0.0,0.128,0.248,0.114,0.274
2021-03-04,-4.607,0.0,-4.413,0.0,0.185,0.164,0.151,0.209
2021-03-05,-4.845,0.0,-4.89,0.0,0.229,0.122,0.137,0.231
2021-03-06,-7.294,0.0,-6.598,0.0,0.068,0.399,0.002,0.874
2021-03-07,-7.294,0.0,-6.598,0.0,0.068,0.399,0.002,0.874
2021-03-08,-7.294,0.0,-6.598,0.0,0.068,0.399,0.002,0.874
2021-03-09,-8.091,0.0,-6.253,0.0,0.003,0.856,0.018,0.668
2021-03-10,-11.165,0.0,-12.297,0.0,0.032,0.562,0.021,0.636
2021-03-11,-12.622,0.0,-4.054,0.001,0.004,0.847,0.131,0.241
2021-03-12,-3.906,0.002,-2.541,0.106,0.065,0.412,0.145,0.218
2021-03-13,-7.592,0.0,-5.404,0.0,0.059,0.434,0.216,0.133
2021-03-14,-7.592,0.0,-5.404,0.0,0.059,0.434,0.216,0.133
2021-03-15,-7.592,0.0,-5.404,0.0,0.059,0.434,0.216,0.133
2021-03-16,-7.275,0.0,-5.484,0.0,0.166,0.146,0.228,0.088
2021-03-17,-7.754,0.0,-6.081,0.0,0.089,0.286,0.088,0.29
2021-03-18,-7.503,0.0,-5.523,0.0,0.051,0.421,0.078,0.318
2021-03-19,-7.301,0.0,-5.229,0.0,0.074,0.332,0.108,0.241
2021-03-20,-5.819,0.0,-4.104,0.001,0.208,0.103,0.144,0.175
2021-03-21,-5.819,0.0,-4.104,0.001,0.208,0.103,0.144,0.175
2021-03-22,-5.819,0.0,-4.104,0.001,0.208,0.103,0.144,0.175
2021-03-23,-5.308,0.0,-2.723,0.07,0.204,0.107,0.031,0.532
2021-03-24,-1.465,0.551,0.534,0.986,0.268,0.064,0.002,0.873
2021-03-25,-1.201,0.673,-2.126,0.234,0.256,0.071,0.016,0.65
2021-03-26,-3.417,0.01,-1.999,0.287,0.204,0.107,0.009,0.736
2021-03-27,-4.032,0.001,-2.448,0.129,0.019,0.621,0.008,0.754
2021-03-28,-4.032,0.001,-2.448,0.129,0.019,0.621,0.008,0.754
2021-03-29,-4.032,0.001,-2.448,0.129,0.019,0.621,0.008,0.754
2021-03-30,-3.561,0.007,-3.541,0.007,0.033,0.514,0.04,0.475
2021-03-31,-4.286,0.0,-3.034,0.032,0.002,0.884,0.001,0.907
2021-04-01,-2.836,0.053,-2.145,0.227,0.019,0.619,0.0,0.991
2021-04-02,-3.205,0.02,-2.407,0.14,0.018,0.629,0.0,0.975
2021-04-03,-3.161,0.022,-2.73,0.069,0.06,0.383,0.032,0.521
2021-04-04,-3.161,0.022,-2.73,0.069,0.06,0.383,0.032,0.521
2021-04-05,-3.161,0.022,-2.73,0.069,0.06,0.383,0.032,0.521
2021-04-06,-3.697,0.004,-2.653,0.083,0.01,0.718,0.003,0.857
2021-04-07,-3.58,0.006,-2.59,0.095,0.016,0.653,0.003,0.847
2021-04-08,-3.709,0.004,-2.588,0.096,0.04,0.473,0.01,0.716
2021-04-09,-5.741,0.0,-5.042,0.0,0.045,0.448,0.0,0.938
2021-04-10,-4.78,0.0,-2.966,0.038,0.0,0.967,0.003,0.839
2021-04-11,-4.78,0.0,-2.966,0.038,0.0,0.967,0.003,0.839
2021-04-12,-4.78,0.0,-2.966,0.038,0.0,0.967,0.003,0.839
2021-04-13,-5.014,0.0,-2.751,0.066,0.006,0.78,0.001,0.931
2021-04-14,-4.396,0.0,-4.193,0.001,0.023,0.587,0.001,0.895
2021-04-15,-4.775,0.0,-4.423,0.0,0.086,0.296,0.016,0.656
2021-04-16,-4.593,0.0,-4.277,0.0,0.101,0.256,0.016,0.652
2021-04-17,-4.288,0.0,-3.525,0.007,0.136,0.188,0.103,0.251
