Date,t (Trading Volume),p-value (Trading Volume),t (Search),p-value (Search),GC-index (Search → Trading Volume),p-value (Search → Trading Volume),GC-index (Trading Volume → Search),p-value (Trading Volume → Search)
2023-08-03,-3.991,0.001,-1.215,0.667,0.002,0.875,0.002,0.868
2023-08-04,-3.514,0.008,-1.567,0.5,0.045,0.451,0.13,0.198
2023-08-05,-2.54,0.106,-1.995,0.289,0.026,0.562,0.164,0.148
2023-08-06,-2.54,0.106,-1.995,0.289,0.026,0.562,0.164,0.148
2023-08-07,-2.54,0.106,-1.995,0.289,0.026,0.562,0.164,0.148
2023-08-08,-2.104,0.243,-2.288,0.176,0.032,0.526,0.218,0.096
2023-08-09,-2.157,0.222,-2.839,0.053,0.005,0.807,0.159,0.154
2023-08-10,-3.572,0.006,-1.797,0.382,0.01,0.725,0.0,0.99
2023-08-11,-3.121,0.025,-1.609,0.479,0.0,0.999,0.0,0.951
2023-08-12,-3.589,0.006,-1.619,0.473,0.0,0.948,0.0,0.999
2023-08-13,-3.589,0.006,-1.619,0.473,0.0,0.948,0.0,0.999
2023-08-14,-3.589,0.006,-1.619,0.473,0.0,0.948,0.0,0.999
2023-08-15,-0.243,0.933,-2.74,0.067,0.019,0.621,0.063,0.369
2023-08-16,-0.275,0.929,-2.717,0.071,0.019,0.655,0.085,0.346
2023-08-17,-5.016,0.0,-4.102,0.001,0.017,0.67,0.088,0.338
2023-08-18,-2.826,0.055,-4.397,0.0,0.019,0.659,0.001,0.902
2023-08-19,-4.411,0.0,-5.412,0.0,0.0,0.968,0.003,0.849
2023-08-20,-4.411,0.0,-5.412,0.0,0.0,0.968,0.003,0.849
2023-08-21,-4.411,0.0,-5.412,0.0,0.0,0.968,0.003,0.849
2023-08-22,-5.232,0.0,-5.581,0.0,0.0,0.956,0.007,0.793
2023-08-23,-5.345,0.0,-5.859,0.0,0.035,0.544,0.018,0.662
2023-08-24,-3.745,0.004,-4.761,0.0,0.049,0.475,0.01,0.741
2023-08-25,-6.667,0.0,-6.166,0.0,0.069,0.395,0.021,0.637
2023-08-26,-5.433,0.0,-3.849,0.002,0.107,0.291,0.004,0.837
2023-08-27,-5.433,0.0,-3.849,0.002,0.107,0.291,0.004,0.837
2023-08-28,-5.433,0.0,-3.849,0.002,0.107,0.291,0.004,0.837
2023-08-29,-5.389,0.0,-4.204,0.001,0.08,0.359,0.021,0.642
2023-08-30,-6.009,0.0,-4.73,0.0,0.079,0.315,0.021,0.607
2023-08-31,-6.19,0.0,-4.735,0.0,0.195,0.115,0.048,0.432
2023-09-01,-8.902,0.0,-5.187,0.0,0.036,0.501,0.005,0.794
2023-09-02,-45.696,0.0,-3.203,0.02,0.097,0.265,0.071,0.341
2023-09-03,-45.696,0.0,-3.203,0.02,0.097,0.265,0.071,0.341
2023-09-04,-45.696,0.0,-3.203,0.02,0.097,0.265,0.071,0.341
2023-09-05,-5.708,0.0,-3.686,0.004,0.041,0.468,0.127,0.203
2023-09-06,-4.469,0.0,-2.566,0.1,0.053,0.41,0.089,0.286
2023-09-07,-5.467,0.0,-3.8,0.003,0.038,0.487,0.071,0.34
2023-09-08,-3.862,0.002,-4.263,0.001,0.034,0.511,0.075,0.327
2023-09-09,-4.484,0.0,-4.635,0.0,0.0,0.943,0.044,0.455
2023-09-10,-4.484,0.0,-4.635,0.0,0.0,0.943,0.044,0.455
2023-09-11,-4.484,0.0,-4.635,0.0,0.0,0.943,0.044,0.455
2023-09-12,-4.136,0.001,-4.878,0.0,0.0,0.978,0.027,0.561
2023-09-13,-4.455,0.0,-4.411,0.0,0.001,0.916,0.004,0.819
2023-09-14,-6.858,0.0,-4.08,0.001,0.001,0.905,0.0,0.983
2023-09-15,-3.739,0.004,-2.779,0.061,0.005,0.8,0.004,0.816
2023-09-16,-5.523,0.0,-4.008,0.001,0.002,0.867,0.019,0.627
2023-09-17,-5.523,0.0,-4.008,0.001,0.002,0.867,0.019,0.627
2023-09-18,-5.523,0.0,-4.008,0.001,0.002,0.867,0.019,0.627
2023-09-19,-6.587,0.0,-6.136,0.0,0.001,0.926,0.013,0.685
2023-09-20,-6.258,0.0,-5.869,0.0,0.006,0.791,0.011,0.708
2023-09-21,-6.163,0.0,-6.427,0.0,0.007,0.761,0.043,0.458
2023-09-22,-6.014,0.0,-6.49,0.0,0.013,0.68,0.033,0.515
2023-09-23,-6.609,0.0,-6.385,0.0,0.006,0.779,0.045,0.451
2023-09-24,-6.609,0.0,-6.385,0.0,0.006,0.779,0.045,0.451
2023-09-25,-6.609,0.0,-6.385,0.0,0.006,0.779,0.045,0.451
2023-09-26,-6.483,0.0,-5.914,0.0,0.026,0.563,0.141,0.18
2023-09-27,-5.266,0.0,-6.296,0.0,0.027,0.561,0.166,0.146
2023-09-28,-11.468,0.0,-10.596,0.0,0.007,0.762,0.226,0.089
2023-09-29,-8.315,0.0,-8.043,0.0,0.005,0.827,0.196,0.152
2023-09-30,-3.291,0.015,-5.823,0.0,0.048,0.53,0.174,0.233
